"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Nordeste Paraense";"DIM_SOCIAL";47,0784444444444;9;3;"1507953,1508001,1508308,1504703,1504604,1504109,1501600,1503200,1505403"
"Sudeste Paraense";"DIM_AMBIENTAL";51,3433333333333;9;3;"1508084,1500131,1502707,1505437,1502152,1505502,1505064,1506138,1501253"
"Sudeste Paraense";"DIM_ECONOMICA";51,4753333333333;9;3;"1508084,1500131,1502707,1505437,1502152,1505502,1505064,1506138,1501253"
"Sudeste Paraense";"DIM_SOCIAL";51,5035555555556;9;3;"1508084,1500131,1502707,1505437,1502152,1505502,1505064,1506138,1501253"
"Marajó";"DIM_AMBIENTAL";49,0716666666667;9;3;"1500701,1506302,1501808,1506401,1505809,1501105,1502806,1504901,1504505"
"Marajó";"DIM_ECONOMICA";40,9381111111111;9;3;"1500701,1506302,1501808,1506401,1505809,1501105,1502806,1504901,1504505"
"Marajó";"DIM_SOCIAL";36,6375555555556;9;3;"1500701,1506302,1501808,1506401,1505809,1501105,1502806,1504901,1504505"
"Baixo Amazonas";"DIM_AMBIENTAL";41,9290740740741;9;3;"1507979,1504802,1506005,1505304,1501451,1500404,1502855,1500503,1503002"
"Baixo Amazonas";"DIM_ECONOMICA";42,1155555555556;9;3;"1507979,1504802,1506005,1505304,1501451,1500404,1502855,1500503,1503002"
"Baixo Amazonas";"DIM_SOCIAL";45,4106666666667;9;3;"1507979,1504802,1506005,1505304,1501451,1500404,1502855,1500503,1503002"
"Sudoeste Paraense";"DIM_AMBIENTAL";40,0424074074074;9;3;"1505486,1500602,1508159,1508357,1508050,1503754,1507805,1500859,1501006"
"Sudoeste Paraense";"DIM_ECONOMICA";44,3993333333333;9;3;"1505486,1500602,1508159,1508357,1508050,1503754,1507805,1500859,1501006"
"Sudoeste Paraense";"DIM_SOCIAL";39,0686666666667;9;3;"1505486,1500602,1508159,1508357,1508050,1503754,1507805,1500859,1501006"
"Metropolitana de Belém";"DIM_AMBIENTAL";63,627037037037;9;3;"1501501,1506351,1503408,1504422,1507003,1501303,1502400,1500800,1506500"
"Metropolitana de Belém";"DIM_ECONOMICA";57,0151111111111;9;3;"1501501,1506351,1503408,1504422,1507003,1501303,1502400,1500800,1506500"
"Metropolitana de Belém";"DIM_SOCIAL";54,6388888888889;9;3;"1501501,1506351,1503408,1504422,1507003,1501303,1502400,1500800,1506500"
"Nordeste Paraense";"DIM_AMBIENTAL";51,1022222222222;3;4;"1508001,1502202,1502103"
"Nordeste Paraense";"DIM_ECONOMICA";48,2696666666667;3;4;"1508001,1502202,1502103"
"Nordeste Paraense";"DIM_SOCIAL";49,498;3;4;"1508001,1502202,1502103"
"Sudeste Paraense";"DIM_AMBIENTAL";38,1422222222222;3;4;"1503044,1507151,1506161"
"Sudeste Paraense";"DIM_ECONOMICA";48,15;3;4;"1503044,1507151,1506161"
"Sudeste Paraense";"DIM_SOCIAL";49,9113333333333;3;4;"1503044,1507151,1506161"
"Marajó";"DIM_AMBIENTAL";48,9533333333333;3;4;"1503101,1501808,1504505"
"Marajó";"DIM_ECONOMICA";39,6093333333333;3;4;"1503101,1501808,1504505"
"Marajó";"DIM_SOCIAL";30,602;3;4;"1503101,1501808,1504505"
"Baixo Amazonas";"DIM_AMBIENTAL";43,3888888888889;3;4;"1506005,1505304,1500503"
"Baixo Amazonas";"DIM_ECONOMICA";43,6526666666667;3;4;"1506005,1505304,1500503"
"Baixo Amazonas";"DIM_SOCIAL";40,7306666666667;3;4;"1506005,1505304,1500503"
"Sudoeste Paraense";"DIM_AMBIENTAL";40,6133333333333;3;4;"1508357,1506195,1504455"
"Sudoeste Paraense";"DIM_ECONOMICA";40,675;3;4;"1508357,1506195,1504455"
